1.0041	1.0026	2.0113	1.0041	1.0029	1.0009	0.011	3.0084	2.0071	2.0056	1.0064	1.0098	1.0045	3.0036	3.0136	0.0031	0.0015	0.0023	1.0029	2.0053	1.0017	1.0008	1.0004	1.0096	1.0102	0.0026	2.0021	0.014	0.0089	1.0043	7.0045	1.0127	4.0079	1.0107	1.0098	2.0072	0.0044	2.0058	1.0077	3.0057	0.0079	1.0046	0.0058	4.0034	4.0115	0.0108	2.0097	1.004	0.0085	3.0078	2.0048	1.0078	1.0035	0.0056	1.0098	2.0067	5.0104	3.0108	2.0074	2.0088	1.0039	1.0069	0.0094	3.0095
2.0118	3.0134	1.0067	2.008	3.0133	0.0035	0.0079	4.0088	2.0088	1.007	1.0005	3.009	3.0118	4.0121	2.0133	2.0108	1.0098	0.0078	5.0031	6.0115	1.0081	2.0041	0.0003	2.0047	0.0054	0.0038	0.0032	0.0047	2.0156	0.0116	3.0031	2.0068	1.0065	2.0052	0.0041	3.0121	4.0024	1.0011	0.0022	0.0136	2.0025	0.0007	0.0001	0.0021	0.0061	1.0056	0.0056	3.0065	4.0087	2.0064	1.0113	0.0164	4.0124	2.0084	0.0066	1.01	2.0113	4.0079	1.0015	1.0081	2.0092	2.0081	3.0068	3.0109
4.0143	2.0071	1.0086	2.0057	0.0051	2.008	1.0056	0.0012	1.0065	2.0031	0.0042	0.0034	2.0068	0.0015	2.0089	2.0042	2.0047	0.0006	0.0055	2.0053	1.0021	3.0122	1.0018	2.0099	1.0062	0.0005	1.005	2.0041	0.0067	3.0049	1.0042	1.0116	1.0094	1.0038	1.0002	0.0011	1.0077	1.0047	1.0045	1.0005	0.0015	1.0073	5.0133	2.0101	1.0086	1.0041	0.0011	4.0151	2.0073	0.0086	1.0029	2.0093	3.0052	1.0031	1.0039	2.0133	1.0008	1.0074	2.0097	2.0115	2.0059	2.013	3.0151	9.036
0.0048	0.0037	3.009	0.0052	1.0093	2.0087	1.0042	0.003	5.0149	3.0122	4.0149	1.0094	0.0114	2.0059	3.0028	2.0019	0.0059	3.008	3.0096	3.0042	3.0048	2.0127	1.0132	3.0052	0.0042	0.0058	4.0116	0.0115	1.0024	4.0074	2.0114	0.0082	3.0075	0.0112	5.0229	3.0031	2.0076	3.0137	1.0063	2.0083	2.019	4.0092	3.0154	3.0108	2.0084	1.0121	3.0123	2.0064	0.0044	1.0026	2.0099	1.0095	3.006	3.0063	1.0093	2.0128	4.0067	1.0074	1.0125	4.0075	1.0043	2.0065	1.0057	0.0101
6.023	0.0043	2.0101	3.0101	1.0052	0.0046	0.0042	2.0047	2.0142	2.0056	3.0154	3.0037	1.0067	3.0099	2.0132	1.0045	2.0069	0.0056	5.0106	2.0044	0.0059	2.0033	0.0024	3.0063	0.0062	0.0043	1.0042	0.0056	1.0142	1.004	2.0067	3.0079	1.0089	3.0064	3.0091	1.0085	4.0082	1.0054	0.0063	1.0076	3.0083	1.0105	3.0084	0.007	0.0043	1.0086	4.003	2.0098	2.0066	0.0023	0.0084	1.0112	4.0083	2.0047	1.0078	1.0142	3.0046	3.007	0.0085	4.0092	1.0034	3.0124	2.0064	2.0155
1.0065	2.0038	2.0081	3.0061	0.0087	2.0078	0.0024	1.0038	1.0135	3.0089	4.0077	1.011	0.012	0.0042	4.0098	2.0028	1.0026	0.007	5.014	1.0059	6.0063	2.0112	0.013	3.0081	0.0022	0.0129	1.0088	2.0067	0.0031	4.01	4.0102	1.0117	3.0095	1.0058	2.014	2.0063	1.0079	4.0109	1.0103	3.0124	4.0132	3.0074	3.0158	2.0096	0.0018	2.0077	2.0112	2.0093	2.0038	0.006	0.0041	0.0063	0.0066	3.0087	2.0054	2.0115	3.0066	3.0123	4.0136	1.0067	2.0034	1.0104	1.0078	3.0078
3.0028	2.0112	0.0044	2.0093	0.006	4.0166	0.0033	0.0035	2.0066	2.0106	2.0035	0.0008	1.0005	0.0102	2.003	1.0021	2.0131	1.0096	3.0051	0.0007	3.0125	10.0313	3.0217	3.01	1.0111	2.0089	5.0175	2.0117	0.0041	4.0074	2.0074	0.0062	2.0109	0.0067	3.0085	2.0056	1.0076	4.0169	4.0094	1.0095	4.0112	3.0191	6.0248	2.0106	0.0019	2.009	2.0089	1.0058	0.0008	1.0019	0.0035	0.0003	2.0024	1.0137	3.0147	2.0021	0.0026	3.005	2.0169	1.0025	0.0	2.0063	0.0078	1.0004
4.0106	0.0045	3.0137	1.0061	0.0004	1.0051	0.0026	2.0068	3.0106	2.0138	5.0119	2.0071	1.0051	0.0024	0.0012	1.0108	1.0086	0.003	2.0038	0.0038	1.0061	4.0131	1.0092	2.0069	1.0056	2.0043	1.0054	0.0078	2.0069	2.0099	2.0131	5.0083	2.0117	1.0028	6.0134	0.0043	1.0046	1.0104	2.0063	4.0119	2.0146	3.0123	2.0119	1.003	0.0055	2.0041	1.0052	1.0081	1.004	1.0026	1.0123	1.0029	1.0081	2.0066	1.0053	3.011	3.0014	1.003	0.0128	1.0051	1.0043	3.0147	3.0066	4.0164
4.0283	2.0061	5.016	2.0083	3.0064	1.0075	0.0059	0.0024	6.0217	2.0121	2.0054	2.0107	0.0021	1.0046	4.0072	0.0072	1.0111	1.0036	5.008	0.0019	2.0022	1.0023	0.0042	0.0003	0.0076	0.0034	1.0029	0.004	1.0047	1.0017	1.0028	1.0017	7.0097	0.0114	1.0186	2.0082	2.0125	2.003	0.0047	3.0041	2.0086	2.0042	1.0098	2.0108	1.0055	0.0037	5.0139	2.0152	1.0095	1.0024	1.007	1.0027	0.0037	0.0025	1.0031	1.0041	2.01	3.0046	3.0153	4.0129	2.0081	0.0035	2.0185	5.0135
5.0229	2.0117	3.0117	4.0107	1.0109	2.0022	0.0025	1.0069	3.0131	0.0036	1.0027	4.0115	2.014	2.0045	3.0083	2.0159	2.0093	0.0018	3.001	3.0112	1.0008	0.0003	0.0001	1.0037	0.002	0.0001	0.0017	0.0044	0.0032	0.0055	1.0021	1.0056	3.0091	2.0041	0.008	1.0078	2.0026	0.0023	0.0023	0.0039	2.005	1.0028	0.0049	1.006	0.0107	0.0011	4.0089	5.0151	4.0137	0.004	1.0102	1.0148	4.0093	0.0001	0.0036	0.0023	1.0069	1.0043	3.0094	5.0159	4.0149	2.0043	2.0173	11.0441
3.01	3.0098	3.0059	1.0148	1.0022	1.0087	0.0025	3.0141	3.0065	2.006	1.0092	4.0114	2.005	1.006	1.0116	0.0068	3.0072	0.0046	0.0045	1.0025	1.0027	2.0046	0.0021	1.0127	0.004	0.0021	0.001	1.0009	0.0109	4.0079	2.0107	5.0115	4.0093	1.0063	5.0157	1.0103	0.0075	1.0001	0.0006	1.0048	4.0123	0.0021	2.0165	2.0095	1.0073	2.0008	4.0131	1.0084	0.0139	1.0067	3.0091	1.0019	2.0064	0.0065	1.0028	5.0067	4.0212	0.0028	5.0165	1.0078	2.0085	1.0055	3.0132	1.0051
0.0023	0.005	2.0079	0.0049	3.0051	1.0054	0.0069	2.0073	3.0091	2.0126	4.0149	2.0049	1.0034	2.003	1.0178	2.002	1.0084	4.0046	1.0085	2.0048	1.0084	2.0073	1.0051	4.0117	0.0092	0.0018	2.0062	0.0017	1.0123	1.0088	2.0087	3.0047	1.0046	2.0104	4.0104	3.0097	4.0059	2.0139	0.001	1.0139	1.0068	4.0122	3.0052	3.0152	0.0109	0.0044	2.0045	2.0093	0.0048	0.0047	4.0147	1.0067	0.0069	3.0055	1.0062	0.0015	6.01	1.0033	1.0138	0.0116	3.0043	1.0039	3.0078	0.0023
4.0139	1.0102	0.0112	3.0171	3.0097	1.0067	1.0007	1.0076	1.0111	1.0087	2.0057	2.0096	8.0081	1.0166	7.0129	2.0207	2.0204	4.0062	2.0085	6.0124	3.0121	1.0052	0.0037	0.0048	0.0038	1.0008	0.0006	0.0027	2.0121	2.0047	0.0044	2.0101	2.0058	0.002	2.0042	0.0165	5.01	2.0052	0.0015	1.0074	2.0032	1.0066	0.0026	0.0062	1.0081	0.0034	5.0068	2.0082	0.0125	1.0063	3.0134	9.0123	3.0156	0.0086	0.0021	4.009	1.0129	5.0079	1.0125	6.0079	2.0159	3.0086	1.0172	0.0125
